text,label
"PSSI anj dibayar berapa kalian untuk membuat indonesia tidak lolos??? Tidak ada rasa bersalah sama sekali atas terpuruknya permainan timnas.",0
"Nggak mau ikutan bongkar-bongkar yang sudah berlalu. Karena bagi mimin sudah cukup!! Saat ini paling penting kita kawal PSSI agar tidak salah langka lagi dalam menentukan pelatih Timnas Indonesia. Nah jadi siapa yang pas menjadi pengganti Kluivert?",1
"Akhirnya capek jg liat kelakuan orangÂ² federasi intinya selama orang macam #erickthohir #aryasinulingga masih ada di #PSSI sepakbola indonesia khususnya timnas tidak akan maju.",0
"Gelombang dukungan terhadap Ketua Umum PSSI Erick Thohir terus berdatangan dari pemain Timnas Indonesia.",1
"PSSI sepertinya tidak belajar dari Vietnam yang mengganti pelatih berkualitas asal Korea Selatan dengan juru taktik Eropa. Prestasi Timnas Indonesia dan Vietnam langsung merosot!",0
"Kabar PSSI dan Patrick Kluivert sepakat untuk mengakhiri kontrak di Timnas Indonesia mendapat sorotan dari media Belanda.",1
"Patrick Kluivert memberikan pesan sekaligus salam perpisahan usai tidak lagi menjabat sebagai Pelatih Timnas Indonesia.",1
"Penasehat Semen Padang FC Andre Rosiade mendesak PSSI agar tidak gengsi untuk mengembalikan Shin Tae-yong (STY) sebagai pelatih Timnas Indonesia.",1
"Kabar pemutusan kontrak PSSI dan Patrick Kluivert sudah terdengar hingga Belanda tetapi warganet negara tersebut sudah tidak kaget lagi.",1
"Akmar Marhali menegaskan bahwa Patrick Kluivert tidak diberikan kesempatan dua kali karena dianggap gagal membawa Timnas Indonesia ke Piala Dunia benarkah demikian?",1
"@unmagnetism Sir. Patrick Kluivert adalah pelatih terhebat yang pernah melatih Timnas Indonesia. Terbukti selama melatih Timnas Indonesia Timnas Indonesia tidak pernah kalah dari Brazil Jerman Prancis maupun Argentina.",2
"ngelatih nya ga bener enak dapat kompensasi miliaran tapi nggak masalah memang HARUS OUT. udah mencapai target buat gagalin timnas indonesia ke piala dunia",0
"BREAKING NEWS! Patrick Kluivert resmi dipecat dari kursi Pelatih Timnas Indonesia setelah hampir 12 bulan menjabat",1
"PSSI resmi berpisah dengan Patrick Kluivert. Setelah gagal membawa Timnas Indonesia lolos ke Piala Dunia 2026 kerja sama dengan Kluivert serta tim pelatih asal Belanda resmi diakhiri lebih cepat.",1
"Patrick Kluivert dan PSSI berpisah sang juru taktik tidak lagi latih Timnas Indonesia. Begini 'menit-menit akhir' Kluivert akhirnya angkat koper.",1
"@PSSI Apakah sdh cukup sampai disitu TIDAK!!! Konsekuensi kesalahan dalam mengambil keputusan ialah MUNDUR. Urusan timnas bukan saja urusan pengurus tapi juga jadi perhatian masyarakat.",0
"Pengamat sepak bola nasional menilai tidak mungkin Shin Tae-yong kembali ditunjuk menjadi pelatih Timnas Indonesia andai Patrick Kluivert dipecat.",1
"PSSI dan Tim Kepelatihan Timnas Indonesia secara resmi menyepakati pengakhiran kerja sama lebih awal melalui mekanisme mutual termination.",1
"Coach PK resmi didepak dari Timnas Indonesia per hari ini Memang seharusnya yaa begitu apalagi tidak memenuhi target yang dicapai ",0
"Patrick Kluivert resmi tidak lagi menjabat pelatih Timnas Indonesia ðŸ‡®ðŸ‡©. Terima kasih coach Patrick semoga pengganti selanjutnya bisa lebih baik.",2
"Sumardji merasa aneh melihat Patrick Kluivert dan staf kepelatihannya tidak mendatangi suporter usai Timnas Indonesia dipastikan gagal ke Piala Dunia 2026. Hal itu membuatnya kecewa berat!",0
"Bek sekaligus kapten Timnas Indonesia Jay Idzes buka suara di tengah banyaknya kritik yang ditujukan kepada Ketua Umum (Ketum) PSSI Erick Thohir.",1
"Caranya adalah Menpora harus menegur Ketua PSSI agar dapat mengambil langkah yg terukur dan tidak hanya instan untuk kinerja Timnas & persepakbolaan Indonesia.",1
"Media Belanda mengakui bahwa Patrick Kluivert memang memiliki nama besar sebagai pemain tetapi tidak sebagai pelatih. Apakah PSSI akan memecatnya? Patut ditunggu!",1
"Rapat Komite Eksekutif (Exco) PSSI membahas nasib Pelatih Timnas Indonesia Patrick Kluivert tidak akan digelar dalam waktu dekat.",1
"Kluivert Tidak Hampiri Suporter Indonesia Apa Kata PSSI? Loh Kluivert sudah sukses kok sukses mengantar Timnas gagal ke Piala Dunia 2026. Karena kegagalan juga sebuah kesuksesan yaitu kegagalan adalah kesuksesan yang gagal wkwkwkwkwk",0
"Setelah semua kerja keras dan pondasi yang telah dibangun masa depan timnas tidak boleh goyah. PSSI harus terus menjadi tulang punggung yang menguatkan bukan penyebab runtuhnya fondasi.",2
"joh wito nggae bahasa indonesia berarti dunia sedang tidak baik2 saja cc: pssi timnas et towel cs botak",1
"Dari sejak pemecatan STY dan digantikan Patrick mulai saat itu ga berharap apa-apa lagi sama timnas. Sebenarnya tidak begitu kecewa indonesia gagal ke piala dunia cuman kenapa harus diganti ditengah jalan.",0
"180 menit jarak antara Indonesia dan Piala Dunia Sepak Bola Putra 2026. Pupus impian setelah Timnas Indonesia kalah dua kali di Babak Keempat Kualifikasi Zona Asia.",0
"Publik meminta PSSI untuk memecat Kluivert atau sebaliknya sang nakhoda yang meninggalkan Timnas Indonesia",1
"Walaupun ga lolos pildun support kepada timnas tidak boleh usai! #KitaGaruda",2
"tidak ada alasan lagi Patrick harus out jadi pelatih timnas indonesia",0
"Apa nya berbenah? Kalo pssi pecat sty yang udah berhasil membawa perubahan untuk timnas indonesia bahkan sampai round 4 kenapa tidak sekalian pilih pelatih yang cv nya jauh lebih baik dari sty?",0
"Wasit China Bersikap Tidak Pantas Terhadap Pemain Timnas Indonesia Begini Tanggapan Jay Idzes",1
"Jadi sebenarnya pejabat pssi itu ingin timnas menang apa enggak sih? Saya ragu sepertinya pejabat pssi ingin indonesia kalah",0
"Kami mohon maaf juga bila anda memimpin PSSI tidak mampu membawa Timnas Indonesia ke pildun 2025. Lebih baik mengundurkan diri saja. Kalian kurang professional",0
"Selamat hari Senin suporter Bola Indonesia. Saya Tommy Welly bersama kameramen Bung Towel melaporkan bahwa Timnas Indonesia tidak lolos Piala Dunia 2026 di Amerika Serikat setelah kalah dari Timnas Irak.",1
"Tepat sekali bung. Indonesia harus membangun sistem yg terstruktur di sepakbola dimulai dari dasar. Kita tidak bisa instan membangun sepakbola yang maju.",2
"Banyak tidak setuju dengan coach justin tapi dia pernah bilang Cuma di Indonesia kalo timnas kalah yang disalahin influencer/pundit ",1
"Kemenpora akan panggil ketum PSSI.dan rencananya akan menegur PSSI.atas kegagalan timnas Indonesia tidak lolos ke piala dunia.",1
"Tidak ada major event Timnas Indonesia sampai Januari 2027. Jika PSSI tidak mengabulkan permintaan suporter terkait #PatrickOut kemungkinan besar animo masyarakat untuk nonton langsung baik ke stadion/TV/Streaming akan menurun.",0
"Kapten timnas Indonesia Jay Idzes: Di akhir pertandingan saya ingin menjabat tangan wasit dan mereka mengatakan tidak.",1
"Historis pelatih asal Belanda di timnas Indonesia tidak ada yang berhasil....",0
"Timnas Indonesia dipastikan tidak berhasil melangkah ke Piala Dunia 2026. Anggota Exco PSSI Arya Sinulingga menyampaikan permintaan maaf melalui unggahan di media sosial.",1
"Ya kalau punya otak pekok ya gini pemikirannya. Kalau kalah tidak usah nyalahin team lain. Introspeksi Timnas Indonesia masih jauh levelnya dibawah team Asia tenggara sekalipun.",0
"Maaf setelah kalah 2-3 dari Arab Saudi dan 0-1 dari Irak di babak keempat kualifikasi AFC Timnas Indonesia sudah tersingkir dan tidak punya peluang lagi lolos ke Piala Dunia 2026.",1
"nonton pertandingan dini hari tadi sangat greget dengan keputusan wasit sangat merugikan pihak timnas indonesia sangat tidak fair keputusannya",0
"Pupusnya harapan tampil di Piala Dunia 2026 sekaligus membuat Timnas Indonesia akan minim kompetisi tahun depan.",0
"Ketua Umum PSSI Erick Thohir menyampaikan permohonan maaf kepada seluruh masyarakat Indonesia usai Timnas Indonesia dipastikan tidak berhasil melangkah ke putaran final Piala Dunia 2026.",1
"Semalam ketiduran pas ingin nonton timnas indonesia dan pas bangun sudah tidak ada rasa semangat untuk cek skor.",0
"Kita mau ada kejelasan dari PSSI menyangkut prestasi timnas! Next harus ada komitmen dan target supaya Indonesia berprestasi di piala Asia 2027",2
"Timnas Indonesia Kalah 1-0 Atas Irak Jay Idzes Tidak Puas dengan Wasit",0
"Saya pernah jadi atlet bertanding di lapangan memperebutkan medali. Jadi kalah dan menang itu sudah biasa. Timnas Indonesia gagal lolos Piala Dunia 2026 tidak apa. Kecewa juga wajar. Tapi jangan memaki.",2
"kalo Kluivert ampe ga dipecat sih keterlaluan banget PSSI. federasi harus bertanggung jawab dengan tidak lolosnya timnas Indonesia ke piala dunia.",0
"Full Time: Mimpi timnas Indonesia ke Piala Dunia 2026 harus berakhir sampai disini kita bermain di pertandingan ini dengan sangat baik tapi banyak faktor yg membuat kita kalah",0
"Terima kasih untuk para pemain Timnas Indonesia tidak untuk @erickthohir dan @PSSI",2
"Applaus utk seluruh pemain timnas Indonesia yg sdh membawa Garuda sejauh ini. Tidak utk Kluivert dan wasit malam ini",2
"Tidak akan ada Piala Dunia bagi Timnas Indonesia. Yang sebanding dengan 135+ nyawa! Shame on u!",0
"GAMEOVER ðŸ‡®ðŸ‡©Timnas Indonesia dipastikan tidak lolos ke Piala Dunia 2026 usai gugur di Kualifikasi R4. IT'S. YOUR. FAULT!",0